CC,ECC,PI,PSN
AD,e0,3001,R N A   
AD,e0,3202,A.MUSICA
AD,e0,32fd,PROXIMA 
AD,e0,32ff, VALIRA 
AD,e0,ad99,RAC 105 
AD,e0,e199,FLAIX FM
AD,e0,e211,RNE 1   
AD,e0,e213,RNE 3   
AD,e0,e230,M80RADIO
AD,e0,e235, LOS40  
AD,e0,e236,MAXIMAFM
AD,e0,e237,--DIAL--
AD,e0,e239,  SER   
AD,e0,e243,R.ESTEL 
AD,e0,e260,ANDORRA1
AD,e0,e2ca,COPE AD 
AD,e0,e2dd,TELETAXI
AD,e0,e2ec,KISS FM 
AD,e0,e314,Radio 4 
AD,e0,e386,R7P+RAC1
AD,e0,e711,RNE 1   
AD,e0,f201,F.INTER 
AD,e0,f202, CULTURE
AD,e0,f203,MUSIQUE 
AD,e0,f220,NRJ     
AL,e0,1000,MY MUSIC
AL,e0,1012,  RASH  
AL,e0,22ff,CLUB FM 
AL,e0,3023,NACIONAL
AL,e0,3d45,CLUB FM 
AL,e0,4d7f, RADIO7 
AL,e0,5158, TIRANA 
AL,e0,51cc,R.MARIA 
AL,e0,51ce,R.MARIA 
AL,e0,520f,KLAN    
AL,e0,5400,PLANET  
AL,e0,5e0f,KLAN    
AL,e0,605a,CITY    
AL,e0,83cf,KLASIK  
AL,e0,9004,EUROSTAR
AL,e0,9011,BEST    
AL,e0,901a,BBC WS  
AL,e0,9020,*motiv* 
AL,e0,9048,SHQIP   
AL,e0,9091,IN RADIO
AL,e0,914c,ENERGY  
AL,e0,91cc,R.MARIA 
AL,e0,920f, TIRANA 
AL,e0,9220,SOT     
AL,e0,9258,  LOVE  
AL,e0,9259,RADIO DJ
AL,e0,9281,CLUB FM 
AL,e0,92aa,TOP     
AL,e0,92ad, TRAVEL 
AL,e0,934c,*ENERGY*
AL,e0,93c5,TOP GOLD
AL,e0,9410,ALPO FM 
AL,e0,9425,ORA NEWS
AL,e0,943c,ENERGY  
AL,e0,9464,AL FM   
AL,e0,9499, TRAVEL 
AL,e0,959b, JEHONA 
AL,e0,9677,RADIO 1 
AL,e0,9795,EMANUEL 
AL,e0,9a17,CLUB FM 
AL,e0,9a40,ONE     
AL,e0,9ac8,ONE     
AL,e0,9e4f,City FM 
AL,e0,9fa2,SPEKTRUM
AL,e0,a1f7, RADIO7 
AL,e0,a220,SCAN    
AT,e0,a201,  OE 1  
AT,e0,a203,  OE 3  
AT,e0,a213,  FM4   
AT,e0,a3dd,R.MARIA 
AT,e0,a3de,ARABELLA
AT,e0,a3ff,KRONEHIT
AT,e0,a404,RADIO-B 
AT,e0,a447,* 88.6 *
AT,e0,a449,RADIO OP
AT,e0,a4ff,KRONEHIT
AT,e0,a502,RADIO-K 
AT,e0,a540,ANTENNE 
AT,e0,a550,  AGORA 
AT,e0,a553,  REAL  
AT,e0,a556,Vogal FM
AT,e0,a560,LoungeFM
AT,e0,a562,WELLE 1 
AT,e0,a56a,WELLE 1 
AT,e0,a5ff,KRONEHIT
AT,e0,a602,RADIO-N 
AT,e0,a647,* 88.6 *
AT,e0,a654,"SOL 95,5"
AT,e0,a655,"SOL105,1"
AT,e0,a657,CR 94.4 
AT,e0,a659,Ypsilon 
AT,e0,a663,HENRY FM
AT,e0,a6de,ARABELLA
AT,e0,a6ff,KRONEHIT
AT,e0,a707,**OOE** 
AT,e0,a746,* LIFE *
AT,e0,a751,* FRO * 
AT,e0,a752,WELLE 1 
AT,e0,a753,FR SKGT 
AT,e0,a754,*FRF.at*
AT,e0,a755,ARABELLA
